outfall_id,receiving_waters,events2018,volume2018,events2016,volume2016,events2015,volume2015,events2014,volume2014,events2013,volume2013,events2006,volume2006,location,discharge_activation_type,treatment_plant,facility,spdes_id,latitude,longitude,of_size
RH-014,Buttermilk Channel,56,47,47,31,48,26,51,40,38,52,0,20,ATLANTIC AVENUE ( REG # R-13 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-014,40.69126,-74.001,"24"""" DIA"
OH-021,Coney Island Creek,35,68,15,44,26,57,26,187,36,13,54,292,W 15TH STREET,Model,OH,NYCDEP - Owls Head WPCP,NY0026166-021,40.58331,-73.9838,"3BL 15' X 9' 9"""""
BB-004,Dutch Kills,4,0,0,0,1,0,4,0,0,2,4,0,BORDEN AVENUE,Monitoring,BB,NYCDEP - Bowery Bay WPCP,NY0026158-004,40.7391,-73.9421,"6' 6"""" X 3' 3"""""
BB-009,Dutch Kills,43,50,34,41,31,30,39,127,57,32,35,35,"HUNTERS POINT AVENUE (REG # L-3B, L-37, L-38, L-41, L-3A)",Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-009,40.74079,-73.9403,"11' X 4' 6"""""
BB-040,Dutch Kills,27,2,24,2,19,1,24,3,2,19,21,1,49TH AVENUE (REG # L-5),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-040,40.74092,-73.9408,"24"""" DIA"
BB-010,Dutch Kills,10,1,6,0,7,0,15,2,1,11,16,2,QUEENS-MIDTOWN EXPRESSWAY (REG # L-3C),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-010,40.73945,-73.9414,"30"""" DIA"
BB-042,Dutch Kills,39,2,26,2,28,2,32,4,3,28,29,2,W/O 27TH STREET (REG # L-6),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-042,40.739,-73.9432,"12"""" DIA"
BB-026,Dutch Kills,50,134,38,95,35,104,42,197,170,37,47,187,"BETWEEN 28TH & 29TH ST. (REG # L- (4, 39, 40 & 42)",Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-026,40.74307,-73.9393,"9' X 4' 6"""""
HP-020,East River,19,0,1,0,0,0,2,0,0,12,0,0,THROGS NECK BOULEVARD (REG #2A),Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-020,40.81289,-73.8109,"8' X 6' 6"""""
HP-021,East River,69,407,47,198,47,243,42,296,250,63,0,298,PENNYFIELD AVENUE (REG #2),Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-021,40.80852,-73.8038,"6' 3"""" X 6' 6"""""
HP-039,East River,0,0,0,0,0,0,0,0,0,0,0,0,N/O HUNTS POINT,Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-039,40.80414,-73.8698,"72"""" DIA"
HP-019,East River,56,19,32,11,30,12,31,19,14,49,0,18,CALHOUN AVENUE (REG #3),Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-019,40.81367,-73.817,"7' X 5' 6"""""
HP-018,East River,49,4,18,2,16,2,24,5,4,37,0,2,ROBINSON AVENUE (REG #12),Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-018,40.81191,-73.8246,"6' 4"""" X 4'"
HP-011,East River,82,481,51,191,46,272,46,376,310,65,0,828,WHITE PLAINS ROAD (REG #5),Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-011,40.8045,-73.8542,DBL 13' X 9'
HP-025,East River,82,142,56,74,47,79,48,118,84,74,0,130,TRUXTON STREET (REG # 8),Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-025,40.80637,-73.8923,"11' 6"""" X 7' 3"""""
HP-002,East River,62,52,47,35,29,34,38,66,36,47,0,119,"TIFFANY STREET (REG # 9, 9A)",Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-002,40.80522,-73.8898,"DBL 5' 6"""" X 9'"
WIB-072,East River,44,53,38,52,25,38,29,139,106,32,0,46,E 149TH STREET (REG # 68),Monitoring,WI,NYCDEP - Wards Island WPCP,NY0026131-072,40.80494,-73.9022,"9' X 6' 6"""""
WIB-070,East River,43,14,38,13,23,10,27,15,12,28,0,11,E 134TH STREET (REG # 70),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-070,40.79895,-73.9083,"4' 2"""" X 3' 2"""" Egg"
WIB-071,East River,44,29,37,28,23,21,24,2,25,25,0,29,E 138TH STREET (REG # 69),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-071,40.80149,-73.9062,"60"""" DIA"
HP-003,East River,56,180,39,153,35,176,35,253,193,50,0,359,FARRAGUT STREET (REG # 10),Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-003,40.80127,-73.8748,"DBL 12' X 9' 5-3/4"""""
RH-013,East River,4,0,16,0,12,0,10,0,0,12,0,0,JORALEMON STREET ( REG # R-14 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-013,40.69404,-74.001,"18"""" DIA"
NCB-008,East River,40,25,38,16,35,17,30,29,21,35,0,27,METROPOLITAN AVENUE (REG # B-7),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-008,40.71834,-73.9661,"60"""" DIA"
NCB-010,East River,0,0,1,0,1,0,0,0,0,1,0,0,GRAND STREET (REG # B-6A),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-010,40.71649,-73.9672,"12"""" DIA"
NCB-012,East River,33,41,27,24,20,28,25,52,36,23,0,27,SOUTH 5TH STREET (REG # B-6),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-012,40.71284,-73.9685,"144"""" DIA"
NCB-004,East River,49,21,38,13,37,13,39,21,16,36,0,18,QUAY STREET (REG # B-10),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-004,40.72588,-73.9617,"66"""" DIA"
NCB-027,East River,41,15,37,8,33,14,32,28,20,35,0,24,HURON STREET (REG # B-12),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-027,40.73238,-73.9619,"84"""" DIA"
RH-002,East River,0,0,0,0,0,0,0,0,0,0,0,0,HUDSON AVENUE ( REG # R-21A ),Monitoring,RH,NYCDEP - Red Hook WPCP,NY0027073-002,40.70587,-73.981,"15"""" DIA"
NCB-003,East River,8,1,15,0,11,0,12,1,0,12,0,1,GREENPOINT AVENUE (REG # B-11),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-003,40.7295,-73.9612,"24"""" DIA"
RH-005,East River,37,144,25,137,17,98,24,181,143,22,0,153,GOLD STREET ( REG # R-20A ),Monitoring,RH,NYCDEP - Red Hook WPCP,NY0027073-005,40.70556,-73.9824,"168"""" DIA"
RH-008,East River,28,3,21,3,14,2,17,3,3,18,0,2,WASHINGTON STREET (REG # R-18A ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-008,40.70491,-73.9897,"60"""" DIA"
NCB-024,East River,0,0,1,0,0,0,0,0,0,2,0,0,DUPONT STREET (REG # B-15),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-024,40.73564,-73.9612,"18"""" DIA"
RH-006,East River,40,9,35,8,28,6,28,10,9,34,0,8,PEARL STREET (REG # R-19A ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-006,40.70516,-73.9875,"36"""" DIA"
NCB-026,East River,7,0,8,0,7,0,10,0,0,10,0,0,GREEN STREET (REG # B-13),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-026,40.73303,-73.9623,"2' X 2' 6"""""
NCB-025,East River,8,1,15,0,11,0,13,1,1,11,0,1,FREEMAN STREET (REG # B-14),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-025,40.73375,-73.9624,"24"""" DIA"
NCB-006,East River,21,98,44,68,16,73,21,129,94,14,0,104,NORTH 12TH STREET (REG # B-9),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-006,40.72524,-73.962,13' X 13'
RH-012,East River,24,11,21,10,14,6,17,9,8,18,0,8,CADMAN PLAZA ( REG # R-17 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-012,40.70311,-73.9951,6' X 6' FT
RH-011,East River,27,4,18,4,14,3,15,3,3,17,0,3,MONTAGUE STREET ( REG # R-15 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-011,40.69609,-73.9996,"4' 0"""" X 4' 0"""""
RH-009,East River,30,2,23,2,14,2,17,2,2,20,0,2,MAIN STREET ( REG # R-18 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-009,40.70433,-73.9907,2' X 2'
RH-007,East River,21,1,22,1,14,1,17,1,1,20,0,1,ADAMS STREET (REG # R-19 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-007,40.70455,-73.9885,"15"""" DIA"
NCB-007,East River,40,9,37,6,32,6,27,9,7,34,0,9,NORTH 5TH STREET (REG # B-8),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-007,40.72012,-73.9644,"36"""" DIA"
BB-017,East River,35,1,27,1,22,1,28,2,1,23,0,2,50TH AVENUE (REG # L-12),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-017,40.7438,-73.9597,"15"""" DIA"
TI-019,East River,24,3,18,2,14,1,17,3,2,16,0,0,9TH AVENUE (REG # 2),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-019,40.78911,-73.8545,"15"""" DIA"
BB-036,East River,47,8,30,6,27,4,23,8,5,25,0,10,21ST AVENUE (REG # L-32),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-036,40.78418,-73.9173,"24"""" DIA"
BB-037,East River,12,1,8,0,6,0,10,0,0,8,0,1,20TH AVENUE,Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-037,40.78613,-73.9154,"48"""" DIA"
BB-032,East River,17,2,16,1,33,1,36,4,1,27,0,3,"MAIN AVENUE (REG # L-29 A, # MH-15)",Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-032,40.77432,-73.9378,"48"""" DIA"
TI-005,East River,2,0,2,0,1,0,3,0,0,0,0,0,154TH STREET (REG # 12),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-005,40.79644,-73.8066,"24"""" DIA"
BB-035,East River,48,4,31,3,29,2,26,4,3,29,0,4,DITMARS BLVD (REG # L-31),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-035,40.78265,-73.92,"18"""" DIA"
BB-034,East River,73,227,53,153,55,151,60,231,162,46,0,223,HOYT AVENUE (REG # L-30),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-034,40.77693,-73.9282,"10' 8"""" X 7' 4"""" ARCH"
TI-004,East River,25,6,19,3,13,2,17,6,2,15,0,10,151ST STREET (REG # 11),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-004,40.79716,-73.8129,"42"""" DIA egg"
BB-045,East River,0,0,0,0,0,0,1,0,0,0,0,0,9TH STREET (REG # L-25),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-045,40.77621,-73.9298,"18"""" DIA"
TI-020,East River,44,10,41,6,30,6,33,9,6,30,0,6,COLLEGE PLACE (REG # 1),Monitoring,TI,NYCDEP - Tallmans Island WPCP,NY0026239-020,40.79449,-73.8488,"54"""" DIA"
BB-016,East River,41,2,23,2,27,2,26,3,2,27,0,2,51ST AVENUE (REG # L-11),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-016,40.74319,-73.9608,"2' 7"""" X 2'"
WIM-027,East River,35,0,24,0,6,0,16,1,0,9,0,1,E 116TH STREET (REG # 27),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-027,40.79417,-73.931,"15"""" DIA"
WIM-031,East River,41,0,33,6,20,5,25,7,6,24,0,5,E 120TH STREET (REG # 31),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-031,40.7967,-73.9291,"5' X 4' 6"""" FT"
WIM-025,East River,58,33,47,27,44,26,44,39,33,45,0,35,E 114TH STREET (REG # 25),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-025,40.79318,-73.9328,"5' 3"""" X 8'"
WIM-026,East River,38,1,24,1,8,0,18,1,1,12,0,1,E 115TH STREET (REG # 26),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-026,40.79364,-73.9319,"15"""" DIA"
WIM-032,East River,41,0,25,0,5,0,17,0,0,8,0,0,E 121ST STREET (REG # 32),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-032,40.79767,-73.929,"4' X 2' 4"""" FT"
WIM-024,East River,46,80,32,73,21,58,25,100,77,24,0,100,E 110TH STREET (REG # 24),Monitoring,WI,NYCDEP - Wards Island WPCP,NY0026131-024,40.79111,-73.9358,"DBL 8' 6"""" X 7' 6"""""
WIM-030,East River,46,6,30,1,12,1,22,1,1,21,0,2,E 119TH STREET (REG # 30),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-030,40.79599,-73.9292,"4' 6"""" X 2' 4"""" FT"
WIM-013,East River,45,0,33,0,9,0,19,0,0,13,0,1,E 90TH STREET (REG # 12),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-013,40.77768,-73.9425,"4' X 2' 4"""" EGG"
WIM-017,East River,46,12,36,11,22,9,27,13,10,28,0,17,E 96TH STREET (REG # 16),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-017,40.78271,-73.9436,"42"""" DIA"
WIM-015,East River,46,11,36,10,21,7,27,12,9,26,0,14,E 92ND STREET (REG # 14),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-015,40.77985,-73.9435,"48"""" DIA"
WIM-043,East River,46,5,43,5,20,4,31,6,5,31,0,7,E 102ND STREET (REG # 19),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-043,40.78592,-73.9392,"42"""" DIA"
WIM-021,East River,41,1,23,0,7,0,17,1,0,11,0,1,E 104TH STREET (REG # 21),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-021,40.78713,-73.9382,"3' 6"""" X 2' 4"""" EGG"
WIM-018,East River,43,1,30,1,10,0,22,1,1,17,0,1,E 100TH STREET (REG # 17),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-018,40.78489,-73.9405,"3' 6"""" X 2' 4"""" EGG"
WIM-020,East River,0,0,0,0,0,0,0,0,0,0,0,0,E 103RD STREET (REG # 20),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-020,40.78645,-73.9388,"4' X 2' 4"""" EGG"
WIM-019,East River,44,1,29,0,10,0,19,1,1,16,0,1,E 101ST STREET (REG # 18),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-019,40.78534,-73.9398,"4' X 2' 4"""" EGG"
WIM-023,East River,45,63,29,56,25,50,27,67,59,28,0,79,E 106TH STREET (REG # 23),Monitoring,WI,NYCDEP - Wards Island WPCP,NY0026131-023,40.78858,-73.9374,"DBL 6' X 7' 6"""""
WIM-022,East River,43,1,25,1,7,0,19,2,1,13,0,1,E 105TH STREET (REG # 22),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-022,40.78779,-73.9378,"4' X 2' 4"""" EGG"
WIM-010,East River,1,0,0,0,0,0,0,0,0,0,0,0,E 84TH STREET (REG # 9),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-010,40.77305,-73.9444,"16"""" DIA"
WIM-009,East River,1,0,0,0,0,0,0,0,0,0,0,0,E 83RD STREET (REG # 8),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-009,40.77241,-73.945,"16"""" DIA"
WIM-008,East River,62,194,48,154,44,135,46,204,176,43,0,224,E 79TH STREET (REG # 7),Monitoring,WI,NYCDEP - Wards Island WPCP,NY0026131-008,40.77016,-73.9475,"60"""" DIA"
WIM-011,East River,23,4,19,2,11,2,17,4,3,12,0,3,E 86TH STREET (REG # 10),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-011,40.77428,-73.9433,5' X 5'
WIM-012,East River,46,28,40,26,24,20,30,31,25,28,0,41,E 89TH STREET (REG # 11),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-012,40.77637,-73.942,"60"""" DIA"
NCM-069,East River,10,7,9,3,14,4,13,7,8,18,0,8,BROAD STREET (REG # M-10),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-069,40.70151,-74.011,5' X 4' FT
NCM-051,East River,8,1,3,0,11,0,5,0,1,18,0,0,Old Slip ( Reg # M-12),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-051,40.70292,-74.0077,"48"""" DIA"
NCM-068,East River,3,0,2,0,11,0,3,0,0,17,0,0,COENTIES SLIP (REG # M -11),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-068,40.70189,-74.0094,"4' 6"""" X 3' 8"""""
NCM-031,East River,25,3,30,3,26,2,26,5,4,30,0,1,E 70TH STREET (REG # M-51B),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-031,40.76452,-73.9523,3' X 2' EGG
NCM-030,East River,9,0,11,0,14,0,17,0,0,17,0,0,E 71ST STREET (REG # M-51C),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-030,40.76514,-73.9518,3' X 2' EGG
NCM-053,East River,8,10,18,1,17,2,18,3,3,22,0,3,E 11TH STREET (REG # M-35),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-053,40.72444,-73.9721,"5' X 8' 9"""" FT"
NCM-052,East River,23,26,22,16,18,23,19,34,31,20,0,41,E 14TH STREET (REG # M-36),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-052,40.72674,-73.9716,DBL 6' X 7'
NCM-054,East River,9,5,12,1,15,1,13,1,1,12,0,3,E 8TH STREET (REG # M-34),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-054,40.72262,-73.9725,"6' 6"""" X 5' FT"
NCM-028,East River,0,0,1,0,0,0,2,0,0,0,0,0,DELANCY STREET (REG # M-28),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-028,40.71489,-73.975,4' X 4' FT
NCM-058,East River,23,16,32,20,42,22,31,32,30,37,0,37,IRVINGTON STREET (REG # M-29),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-058,40.71593,-73.9746,"5' 6"""" X 5' FT"
NCM-059,East River,18,8,37,15,49,18,34,23,23,41,0,44,50' S/O GRAND STREET (REG # M-26),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-059,40.71252,-73.9761,6' X 3' FT
NCM-060,East River,6,0,20,1,23,1,19,2,2,27,0,4,S/O CORLEARS HOOK PARK (REG # M-25),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-060,40.71053,-73.9781,5' X 4' FT
NCM-042,East River,6,2,17,2,10,1,12,4,2,17,0,0,BROOME STREET (REG # M-27),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-042,40.71369,-73.9756,4' X 4' FT
WIM-005,East River,53,7,42,6,29,5,32,7,6,31,0,10,E 76TH STREET (REG # 4),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-005,40.76826,-73.9491,"3' 6"""" X 2' 0"""" Egg"
WIM-004,East River,60,9,45,8,34,6,38,9,8,39,0,12,E 75TH STREET (REG # 3),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-004,40.76764,-73.9496,"3' 6"""" X 2' 0"""" Egg"
WIM-007,East River,54,8,39,6,29,5,33,8,6,30,0,11,E 78TH STREET (REG # 6),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-007,40.76949,-73.9481,3' X 2' EGG
WIM-006,East River,59,8,43,7,32,5,35,8,7,35,0,12,E 77TH STREET (REG # 5),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-006,40.76889,-73.9486,"3' 6"""" X 3' 0"""" Egg"
